Duration,Loudness,LogAttackTime,Tempo,Tempo.confidence,TemporalCentroid,SingleEvent,Loop,Tonality,Tonality.confidence,DynamicRange,Note.midi,Note.frequency,Note.confidence,Genre,Mood
24.218412399291992,-16.581459045410156,0.7693756818771362,95,0.13315351009368898,0.4985963702201843,False,False,G major,0.5246792435646057,9.68924331665039,55,197.972900390625,0.0,Genre B,Mood B
243.98367309570312,-16.891334533691406,1.618665337562561,65,0.545526647567749,0.4795764684677124,False,False,G major,0.7851136922836304,5.247043609619141,40,85.45645141601562,0.0,Genre A,Mood A
15.281632423400879,-21.65825080871582,0.5826584696769714,63,0.9969047904014587,0.4923151433467865,True,True,C minor,0.6980953216552734,1.06024169921875,50,151.97219848632812,0.35234498977661133,Genre B,Mood B
2.0,-10.525232315063477,-1.590208649635315,119,0.0,0.4689179062843323,False,False,G# minor,0.646679699420929,0.0,41,91.40281677246094,0.0,Genre A,Mood A
1.454149603843689,-28.335721969604492,-0.49254798889160156,152,0.0,0.5024814605712891,True,False,F# minor,0.4084809124469757,0.0,107,3984.6572265625,0.6956327557563782,Genre A,Mood A
267.8073425292969,-10.931602478027344,1.3927316665649414,120,0.4223666191101074,0.5209347605705261,False,False,C major,0.896192729473114,6.640100479125977,49,143.8870391845703,0.0,Genre B,Mood B
88.0,-23.16547966003418,1.2411267757415771,117,0.16161746978759767,0.4581405222415924,False,False,A# major,0.7985312342643738,9.20406723022461,57,220.01153564453125,0.0,Genre A,Mood A
165.2767333984375,-11.126255989074707,1.022742509841919,129,0.3674476623535156,0.5086180567741394,False,False,D major,0.8988518118858337,3.703291893005371,45,110.59947967529297,0.0,Genre B,Mood B
3.813877582550049,-18.99390983581543,0.2832961082458496,108,0.0,0.6455472707748413,False,False,D minor,0.7320904731750488,0.5933952331542969,61,293.014404296875,0.0,Genre A,Mood A
38.0,-25.768625259399414,0.658517599105835,138,0.10021189451217652,0.5373361706733704,False,False,G major,0.633975625038147,6.336580276489258,44,108.09735107421875,0.0,Genre B,Mood B
8.000022888183594,-13.546591758728027,-1.6158673763275146,120,0.6058544158935547,0.4396251440048218,False,False,E minor,0.3869450092315674,3.090756416320801,53,182.66928100585938,0.0,Genre A,Mood A
44.0,-11.98068618774414,1.0997675657272339,178,0.08611329793930053,0.4698628783226013,False,False,C major,0.705166757106781,5.372542381286621,58,236.8189697265625,0.0,Genre A,Mood A
348.4212341308594,-9.933128356933594,1.2671781778335571,148,0.04131421148777008,0.513269305229187,False,False,D minor,0.8544766306877136,13.174867630004883,52,173.25784301757812,0.0,Genre B,Mood B
206.86367797851562,-13.644941329956055,0.4507656693458557,90,0.0,0.4663858413696289,False,False,B minor,0.47323301434516907,4.273745536804199,56,212.18003845214844,0.0,Genre A,Mood A
11.937958717346191,-31.162172317504883,0.35198551416397095,164,0.49092607498168944,0.518048107624054,False,False,E major,0.8763472437858582,0.1193695068359375,35,64.41189575195312,0.0,Genre A,Mood A
9.116734504699707,-23.519577026367188,0.4668911099433899,105,0.5154642581939697,0.4973433017730713,True,False,D# minor,0.7397022843360901,0.7901096343994141,62,308.103759765625,0.7647666931152344,Genre B,Mood B
26.20954704284668,-19.770998001098633,1.064859390258789,84,0.08797417879104615,0.5251733064651489,False,False,E minor,0.602491021156311,7.490688323974609,68,431.83837890625,0.0,Genre A,Mood A
25.846145629882812,-12.103339195251465,1.0809576511383057,130,1.0,0.5205402970314026,False,True,G major,0.7806867957115173,2.7029685974121094,57,220.77777099609375,0.0,Genre A,Mood A
192.99266052246094,-25.856901168823242,-0.03571990877389908,185,0.17143726348876953,0.383730947971344,False,False,D# minor,0.6559401154518127,4.440586090087891,75,635.0252685546875,0.0,Genre A,Mood A
204.9044952392578,-13.773674964904785,1.2776960134506226,118,0.0,0.4940197765827179,False,False,B minor,0.29199498891830444,3.2888240814208984,56,212.94534301757812,0.0,Genre A,Mood A
246.04734802246094,-13.444486618041992,1.883147954940796,120,0.2666916847229004,0.5948183536529541,False,False,E minor,0.789120614528656,16.536821365356445,55,196.04974365234375,0.0,Genre A,Mood A
52.010860443115234,-46.69044876098633,0.8824728727340698,120,0.9790475964546204,0.5014213919639587,True,True,E minor,0.5375540256500244,4.374847412109375,53,179.4576873779297,0.32210224866867065,Genre A,Mood A
86.4000015258789,-15.122791290283203,-1.2629624605178833,100,0.68038010597229,0.4774489104747772,False,False,C major,0.7815564870834351,2.2063989639282227,59,260.5527038574219,0.0,Genre A,Mood A
9.727999687194824,-15.029512405395508,-0.099738210439682,89,0.579451322555542,0.5084245800971985,False,False,E minor,0.8056120872497559,1.3314857482910156,64,330.13702392578125,0.0,Genre A,Mood A
100.51200103759766,-15.996842384338379,1.6125849485397339,103,0.07114898562431335,0.4375278055667877,False,False,A# major,0.8850825428962708,6.179471969604492,58,239.30838012695312,0.0,Genre A,Mood A
128.73599243164062,-13.46656322479248,1.805198073387146,178,0.15072537660598756,0.5521748661994934,False,False,C major,0.6775215864181519,10.506670951843262,55,201.95901489257812,0.0,Genre A,Mood A
44.0,-21.19780921936035,1.0418750047683716,120,1.0,0.4220691919326782,True,True,F minor,0.656318187713623,0.7372283935546875,60,276.5909423828125,0.755132794380188,Genre A,Mood A
202.24000549316406,-16.906497955322266,1.9049381017684937,100,0.35167546272277833,0.5996410250663757,False,False,D major,0.8650717735290527,19.490516662597656,73,554.8831176757812,0.0,Genre A,Mood A
1015.4652099609375,-29.2703800201416,1.8665755987167358,123,0.0,0.36777597665786743,False,False,D major,0.7503547072410583,20.706422805786133,53,179.13790893554688,0.0,Genre B,Mood B
